Article ID,Website,Headline,Caption,Media Type,Media Link,Caption Entities,Media Main Entities,Match Rate,Detailed?,Subjective?
00FOX,FOX,"Ryan goes on offense over Medicare, accuses Obama of treating program like 'piggy bank'",Exclusive: Republican vice presidential candidate sits down with Brit Hume for first solo interview since VP announcement,VIDEO,https://a57.foxnews.com/video.foxnews.com/thumbnails/081412/640/360/931/524/081412_sr_ryanfull_640.jpg?ve=1&tl=1,"Paul Ryan, Brit Hume",Paul Ryan,0.5,,
00NYT,NYT,Battle Over Medicare Savings Intensifies Between Obama and Paul Ryan,"Representative Paul D. Ryan, at a campaign stop Tuesday in Colorado, says Medicare is “a debate we want to have.”",IMAGE,https://static01.nyt.com/images/2012/08/15/us/15medicare/15medicare-articleLarge.jpg?quality=75&auto=webp&disable=upscale,Paul Ryan,Paul Ryan,1,,
01FOX,FOX,"Trump Bows Out as Moderator of GOP Debate, Reserves Right to Run for President","          Dec. 5, 2011: Donald Trump speaks in New York.
          (AP)",IMAGE,https://a57.foxnews.com/a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/640/320/1862/1048/trump_ny_120511.jpg?ve=1&tl=1?ve=1&tl=1,Donald Trump,Donald Trump,1,,
02FOX,FOX,"Trump declares emergency on border, eyes $8B for wall as he signs spending package",Trump says he will be signing a national emergency declaration to confront the crisis at the southern border.,VIDEO,http://video.foxnews.com/v/6002668263001,Donald Trump,Donald Trump,1,,
02NYT,NYT,"Trump Declares a National Emergency, and Provokes a Constitutional Clash","After declaring a national emergency to build a border wall, President Trump said “I want to get it done faster, that’s all.” The move bypasses Congress.",VIDEO,https://nyti.ms/2Ede7NO,"Donald Trump, Congress",Donald Trump,0.5,,
03FOX,FOX,"Double-Dip Recession Possible Without Tax Deal, Obama's Top Economic Aide Warns","          FILE: Oct. 16, 2009: Lawrence Summers, then-White House chief economic adviser, speaks at the Buttonwood Gathering in New York.
          (AP)",IMAGE,https://a57.foxnews.com/a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/640/320/1862/1048/Lawrence-Summers.jpg?ve=1&tl=1?ve=1&tl=1,Lawrence Summers,Lawrence Summers,1,,
04FOX,FOX,Aide to GOP lawmaker apologizes for Facebook post ripping Obama daughters,"          November 26, 2014: President Barack Obama, joined by his daughters Malia, right, and Sasha, center, speaks during the presidential turkey pardon ceremony at the White House. (AP Photo/Jacquelyn Martin)
          ",IMAGE,https://a57.foxnews.com/a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/640/320/1862/1048/Obama-Turkey-Pardon_Cham640360113014.jpg?ve=1&tl=1?ve=1&tl=1,"Barack Obama, Malia Obama, Sasha Obama",,,,
04NYT,NYT,"G.O.P. Aide Quits After Ridiculing Obama’s Daughters, Sasha and Malia",A Republican spokeswoman found fault with the attire of Sasha and Malia Obama at the presidential turkey pardon.,IMAGE,https://static01.nyt.com/images/2014/12/02/us/DAUGHTERS/DAUGHTERS-articleLarge.jpg?quality=75&auto=webp&disable=upscale,"Elizabeth Lauten, Sasha Obama, Malia Obama",,,,
05FOX,FOX,Donald Trump Jr. releases messages with WikiLeaks from before election,President Trump's eldest son corresponded with WikiLeaks before the 2016 presidential election; Rep. Ron DeSantis weighs in.,VIDEO,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/10/340/340/img_2751-54438.jpg?ve=1&tl=1,"Donald Trump Jr., WikiLeaks, Ron DeSentis",,,,
05NYT,NYT,Donald Trump Jr. Communicated With WikiLeaks During Campaign,Donald Trump Jr. at the third presidential debate last year.,IMAGE,https://static01.nyt.com/images/2017/11/14/us/politics/14dc-wikileaks1/14dc-wikileaks1-articleLarge.jpg?quality=75&auto=webp&disable=upscale,Donald Trump Jr.,,,,
06FOX,FOX,Reid Breaks With Obama Over Proposed Ground Zero Mosque,"President Obama has expressed his support for the construction of a Muslim community center and mosque near the World Trade Center site in downtown Manhattan, as many protest the plan, saying it is wrong to build a mosque so close to the site of the Sept. 11 attacks. ",IMAGE,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/931/524/Proposed-Mosque-Site.jpg?ve=1&tl=1,Barack Obama,,,,
06NYT,NYT,G.O.P. Seizes on Mosque Issue Ahead of Elections,Senator Harry Reid of Nevada.,IMAGE,https://static01.nyt.com/images/2010/08/17/us/MOSQUE/MOSQUE-jumbo.jpg?quality=75&auto=webp&disable=upscale,Harry Reid,,,,
07FOX,FOX,Adam Schiff urged to step down as chairman by House Intelligence Committee Republicans,The nine Republicans on the House Intelligence Committee present a letter calling for the resignation of Democrat Chair Adam Schiff over his repeated claims of Trump-Russia collusion after the release of the Mueller report.,VIDEO,https://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2019/03/28/931/524/694940094001_6019177201001_6019186018001-vs.jpg?ve=1&tl=1,"GOP committee members, Adam Schiff, Donald Trump, Robert Mueller",,,,
07NYT,NYT,Demands for Adam Schiff's Head Highlight Chasm That Only Widened With Mueller's Conclusion,"Republicans in the House Intelligence Committee called for the chairman, Representative Adam Schiff, to step down.",VIDEO,https://static01.nyt.com/images/2019/03/28/us/politics/28dc-intel1/28dc-intel1-videoSixteenByNine3000.jpg,"GOP committee members, Adam Schiff",,,,
08FOX,FOX,"In first foreign policy speech, candidate Rubio pushes stronger U.S. leadership","          WAUKEE, IA - APRIL 25:  Senator Marco Rubio (R-FL) speaks to guests gathered at the Point of Grace Church for the Iowa Faith and Freedom Coalition 2015 Spring Kickoff on April 25, 2015 in Waukee, Iowa. The Iowa Faith &amp; Freedom Coalition, a conservative Christian organization, hosted 9 potential contenders for the 2016 Republican presidential nominations at the event.  (Photo by Scott Olson/Getty Images)
          (2015 Getty Images)",IMAGE,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/340/340/lizphotocrop.jpeg?ve=1&tl=1,"Marco Rubio, Iowa Faith & Freedom Coalition",,,,
08NYT,NYT,Marco Rubio to Outline His Approach to Foreign Policy,"Senator Marco Rubio at the Freedom Summit in Greenville, S.C., this month.",IMAGE,https://static01.nyt.com/images/2015/05/13/us/politics/13firstdraft-rubio/13firstdraft-rubio-tmagArticle.jpg,Marco Rubio,,,,
09FOX,FOX,"Democrats urge Trump to cancel Putin summit, after indictment of Russian intel officers",Herald Group Vice President of Public Affairs Sabrina Schaeffer and Daily Caller News Foundation Editor-in-Chief Chris Bedford on the indictments of 12 Russian intelligence officers as part of the Mueller investigation.,VIDEO,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/10/340/340/img_2751-54438.jpg?ve=1&tl=1,"Sabrina Schaeffer, Chris Bedford, Russian intelligence officers, Robert Mueller",,,,
09NYT,NYT,Democrats Say Trump Should Cancel Putin Meeting After Indictments,"Senator Chuck Schumer of New York, the Democratic leader, said President Trump should cancel his meeting with President Vladimir V. Putin of Russia.",IMAGE,https://static01.nyt.com/images/2018/07/14/us/politics/14dc-cong1/merlin_141048030_6e791359-e5d8-4183-baf5-76b9997aca2b-articleLarge.jpg?quality=75&auto=webp&disable=upscale,"Chuck Schumer, Donald Trump, Vladimir Putin",,,,
11NYT,NYT,Trump Signs Bill Reopening Government for 3 Weeks in Surprise Retreat From Wall,President Trump said he would end the partial government shutdown for three weeks while negotiations over the border wall continue. He also indicated that he was open to declaring a national emergency or shutting down the government again if Republicans and Democrats cannot reach an agreement on wall money by the February deadline.,VIDEO,https://nyti.ms/2Sa8M1E,Donald Trump,Donald Trump,1,,
12FOX,FOX,NRA urges states to allow more armed officers in schools,"          FILE: Dec. 21, 2012: National Rifle Association CEO Wayne LaPierre pauses as he makes a statement during a news conference in Washington.
          (AP)",IMAGE,https://a57.foxnews.com/a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/640/320/1862/1048/013aa046-nra_lapierre_122112.jpg?ve=1&tl=1?ve=1&tl=1,"National Rifle Association, Wayne LaPierre",Wayne LaPierre,0.5,,
12NYT,NYT,N.R.A. Details Plan for Armed School Guards,The Times’s Sheryl Gay Stolberg discusses a new proposal commissioned by the National Rifle Association to place trained guards in American schools.,VIDEO,https://static01.nyt.com/images/2013/04/02/us/video-tc-130402-schoolguards/video-tc-130402-schoolguards-videoSmall.jpg,"Sheryl Gay Stolberg, National Rifle Association",Asa Hutchinson,0,,
13FOX,FOX,Trump holds off reversing ban on elephant trophy imports,President tweets that the decision is on hold until conservation facts are reviewed.,VIDEO,https://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2017/11/19/931/524/694940094001_5651877902001_5651868712001-vs.jpg?ve=1&tl=1,Donald Trump,elephants,0,,
13NYT,NYT,"For Now, Trump to Keep Ban on Importing Elephant Trophies","An elephant in Zimbabwe in 2012. “Put big game trophy decision on hold until such time as I review all conservation facts,” President Trump tweeted on Friday night.",IMAGE,https://static01.nyt.com/images/2017/11/18/business/18dc-elephant1-sub/18dc-elephant1-sub-articleLarge.jpg?quality=75&auto=webp&disable=upscale,Donald Trump,elephants,0,,
14FOX,FOX,Holder says he understands mistrust of police as Ferguson protests dwindle,Adam Housley reports from Missouri,VIDEO,https://a57.foxnews.com/a57.foxnews.com/media2.foxnews.com/thumbnails/i/082114/640/360/931/524/082114_housley_ferguson_640.jpg?ve=1&tl=1,Adam Housley,protestors,0,,
14NYT,NYT,"As Tension Eases on Ferguson's Streets, Focus Turns to Investigation","Confrontations between protesters and law enforcement continued overnight on Tuesday in Ferguson, Mo.",VIDEO,https://static01.nyt.com/images/2014/08/20/us/20missouri-slide-9V2O/20missouri-slide-9V2O-videoLarge-v2.jpg,"protestors, police","protestors, police",1,,
15FOX,FOX,NJ Gov Chris Christie to Throw His Hat in the Ring for White House Run,"New Jersey Gov. Chris Christie signs the state's 2016 budget, Friday, June 26, 2015, in Trenton, N.J. Christie vetoed more than $1.6 billion from the 2016 budget approved by the Democratic-controlled Legislature and signed a roughly $34 billion budget into law. (AP Photo/Julio Cortez)",IMAGE,https://a57.foxnews.com/a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/640/320/1862/1048/ChristieBlog.jpg?ve=1&tl=1?ve=1&tl=1,Chris Christie,Chris Christie,1,,
15NYT,NYT,"Chris Christie Announces Run, Pledging ‘Truth’ About Nation’s Woes","Gov. Chris Christie of New Jersey told supporters on Tuesday in Livingston, N.J., that he was joining the 2016 presidential race.",VIDEO,https://static01.nyt.com/images/2015/07/01/us/01announce1/01announce1-videoSixteenByNine1050-v2.jpg,Chris Christie,Chris Christie,1,,
16FOX,FOX,Arizona Sheriff Joe Arpaio Endorses Rick Perry,"PHOENIX, AZ - APRIL 17:   Inmates walk as they are moved after being ordered by Maricopa County Sheriff Officer Joe Arpaio (R), looking on, to be placed into new housing to open up new beds for maximum security inmates on April 17, 2009 in Phoenix, Arizona. Arpaio has been facing criticism from Hispanic activists and lawmakers, alleging that Arpaio's crackdown methods on illegal immigrants involve racial profiling. (Photo by Joshua Lott/Getty Images) *** Local Caption *** Joe Arpaio",IMAGE,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/1862/1048/c5f2b2a9-ARPAIO-BIG-TOP.jpg?ve=1&tl=1,Joe Arpaio,Joe Arpaio,1,,
17FOX,FOX,RNC Chairman Steele to Announce Intentions on a Second Term,"          RNC Chairman Michael Steele
          (AP)",IMAGE,https://a57.foxnews.com/a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/640/320/1862/1048/9e5823f9-steele.jpg?ve=1&tl=1?ve=1&tl=1,Michael Steele,Michael Steele,1,,
19FOX,FOX,White House Asked Bill Clinton to Urge Sestak to Drop Out of Senate Race,"          ""Former President Bill Clinton denies a White House account that he urged Rep. Joe Sestak to drop out of a Senate primary. (AP)""",IMAGE,https://a57.foxnews.com/a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/640/320/1862/1048/clinton_sestak.jpg?ve=1&tl=1?ve=1&tl=1,"Bill Clinton, Joe Sestak","Bill Clinton, Joe Sestak",1,,
19NYT,NYT,White House Used Bill Clinton to Ask Sestak to Drop Out of Race,"President Bill Clinton with Joe Sestak, and his wife, Susan, in 2006, when Mr. Sestak was running for the House of Representatives.",IMAGE,https://static01.nyt.com/images/2010/05/29/us/29sestak-cnd/29sestak-cnd-blogSpan.jpg,"Bill Clinton, Joe Sestak, Susan Sestak","Bill Clinton, Joe Sestak, Susan Sestak",1,,
20FOX,FOX,Dem running for Senate in Iowa mocks Grassley as farmer 'who never went to law school',"          Rep. Bruce Braley, left, and Sen. Chuck Grassley.
          (AP/reuters)",IMAGE,https://a57.foxnews.com/a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/640/320/1862/1048/braleygrassley.jpg?ve=1&tl=1?ve=1&tl=1,"Bruce Braley, Chuck Grassley","Bruce Braley, Chuck Grassley",1,,
20NYT,NYT,Representative Apologizes for Criticizing Iowa Senator,America Rising posted video of Representative Bruce Braley talking about Senator Charles E. Grassley.,VIDEO,https://www.youtube.com/embed/QH51LNpqZ94,"America Rising, Bruce Braley, Chuck Grassley",Brice Braley,0.33333,,
21NYT,NYT,Nebraska and Oklahoma Sue Colorado Over Marijuana Law,Cultivating marijuana near Colorado Springs in February. A suit argues that an influx of marijuana has taxed law enforcement in other states.,IMAGE,https://static01.nyt.com/images/2014/12/19/us/POT/POT-articleLarge.jpg?quality=75&auto=webp&disable=upscale,law enforcement,farmer,0,,
22FOX,FOX,"Clinton, advisers have lots to say on key trade legislation, except where candidate stands",New questions over Clinton campaign strategy on 'The Kelly File',VIDEO,https://a57.foxnews.com/a57.foxnews.com/media2.foxnews.com/2015/06/12/640/360/931/524/kelly_clinton_061215.jpg?ve=1&tl=1,Hillary Clinton,Hillary Clinton,1,,
22NYT,NYT,Hillary Clinton Urges Obama to Listen to Democrats on Trade Deal,Hillary Rodham Clinton on Sunday urged President Obama to make changes to the Trans-Pacific Partnership trade deal during a speech in Des Moines.,IMAGE,https://static01.nyt.com/images/2015/06/14/us/14hillary-firstdraft/14hillary-firstdraft-tmagArticle.jpg,"Hillary Clinton, Barack Obama",Hillary Clinton,0.5,,
23FOX,FOX,Senate intel panel subpoenas two Flynn businesses in Russia probe,Former national security adviser says he will not provide records to the Senate Intelligence Committee; chief intelligence correspondent Catherine Herridge reports from Washington,VIDEO,http://video.foxnews.com/v/5444182080001,"Michael Flynn, Catherine Herridge",Michael Flynn,0.5,,
23NYT,NYT,"House Intelligence Committee Will Subpoena Flynn, Schiff Says","Michael T. Flynn, President Trump’s former national security adviser, at Trump Tower in Manhattan in December.",IMAGE,https://static01.nyt.com/images/2017/05/25/us/25flynn/merlin-to-scoop-122159054-774128-articleLarge.jpg?quality=75&auto=webp&disable=upscale,"Michael Flynn, Donald Trump",Michael Flynn,0.5,,
24NYT,NYT,"Indicting Roger Stone, Mueller Shows Link Between Trump Campaign and WikiLeaks","Roger J. Stone Jr., a longtime Trump adviser, has been charged as part of the investigation by the special counsel, Robert S. Mueller III. He was arrested in a pre-dawn F.B.I. raid in Fort Lauderdale, Fla., and appeared in court on Friday.",VIDEO,https://static01.nyt.com/images/2019/01/26/us/politics/26dc-stone-print/26dc-stone1-videoSixteenByNine3000.jpg,"Roger Stone, Donald Trump, Robert Mueller","Roger Stone, Donald Trump, Robert Mueller",1,,
25FOX,FOX,"Congress rejects Obama veto of 9/11 bill, in first override of presidency",Insight from the Wall Street Journal's John Bussey and Fox News senior judicial analyst Judge Andrew Napolitano,VIDEO,https://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2016/09/28/931/524/694940094001_5145750545001_Legal--political-fallout-from-veto-override-of-911-bill.jpg?ve=1&tl=1,"John Bussey, Andrew Napolitano","John Bussey, Andrew Napolitano",1,,
25NYT,NYT,Senate Set to Override Veto on Bill Allowing 9/11 Suits Against Saudi Arabia,"Representative Nancy Pelosi of California, who plans to support a veto override effort, tried on Tuesday to play down any split between Democrats and Mr. Obama.",IMAGE,https://static01.nyt.com/images/2016/09/28/us/28fdnl-pelosi/28fdnl-pelosi-articleLarge.jpg?quality=75&auto=webp&disable=upscale,"Nancy Pelosi, Democrats, Barack Obama",Nancy Pelosi,0.33333,,
26FOX,FOX,"Trump warns shutdown could last 'years,' says he may declare 'national emergency' to build border wall",President Trump says discussions will continue about funding for border security after meeting with congressional leaders at the White House.,VIDEO,https://video.foxnews.com/v/5986069238001#sp=show-clips,"Donald Trump, congressional leaders",Donald Trump,0.5,,
27FOX,FOX,Trump gets into Twitter feud with former Mexican president,Strategy Room: Chuck Rocha and Marjorie Dannenfelser discuss Donald Trump's meeting with the President of Mexico today and how it might affect his speech tonight in Arizona,VIDEO,http://video.foxnews.com/v/5106561466001,"Chuck Rocha, Marjorie Dannenfelser, Donald Trump, Enrique Pena Nieto","Chuck Rocha, Marjorie Dannenfelser, Donald Trump",0.75,,
27NYT,NYT,"Vicente Fox, Ex-President of Mexico, Scoffs at Donald Trump’s Visit",Former President Vicente Fox met with international reporters at a Mexico City hotel in September 2014.,IMAGE,https://static01.nyt.com/images/2016/09/01/us/01fd-fox/01fd-fox-articleInline.jpg?quality=75&auto=webp&disable=upscale,"Vicente Fox, international reporters",Vicente Fox,0.5,,
28FOX,FOX,Joe Lieberman emerges as Trump's top choice for FBI director," ""Joe Lieberman a bipartisan pick for FBI director? Radio hosts Leslie Marshall and Chris Plante react""",VIDEO,http://video.foxnews.com/v/5438251787001,"Joe Lieberman, Leslie Marshall, Chris Plante","Joe Lieberman, Leslie Marshall, Chris Plante",1,,
28NYT,NYT,"Lieberman Is a Finalist for F.B.I. Director, Trump Says","Joseph I. Lieberman, the former Democratic senator and vice-presidential nominee, left the White House on Wednesday.",IMAGE,https://static01.nyt.com/images/2017/05/19/us/19fbi/19fbi-articleInline.jpg?quality=75&auto=webp&disable=upscale,Joe Lieberman,Joe Lieberman,1,,
29FOX,FOX,Trump: Roy Moore will 'step aside' if sexual misconduct allegations are true,"Griff Jenkins reports from Washington, D.C.",VIDEO,http://video.foxnews.com/v/5641670753001,Griff Jenkins,Griff Jenkins,1,,
29NYT,NYT,Alabama Republicans Defend Roy Moore: ‘It Was 40 Years Ago’,"Roy S. Moore, the Republican nominee for Senate in Alabama, was accused of making sexual advances toward teenage girls. A state official said that the women’s claims were “much ado about nothing” and that Mr. Moore had done nothing “immoral or illegal.”",IMAGE,https://static01.nyt.com/images/2017/11/11/us/11xp-moore/11xp-moore-articleLarge.jpg?quality=75&auto=webp&disable=upscale,"Roy Moore, state official",Roy Moore,0.5,,
30FOX,FOX,"IRS official who refused to testify facing more scrutiny over scandal, past",Doug McKelway reports,VIDEO,http://video.foxnews.com/v/2402711145001,Doug McKelway,"Lois Lerner, Doug McKelway",1,,
