Article ID,Website,Headline,Caption,Media Type,Media Link,Caption Entities,Media Main Entities,Match Rate,Detailed?,Subjective?
65NYT,NYT,Arkansas Governor’s Son Thrust Into Spotlight Over Religious Exception Bill,"Seth Hutchinson, a son of Gov. Asa Hutchinson of Arkansas, is a union organizer.",IMAGE,https://static01.nyt.com/images/2015/04/02/us/02SETHWEB/02SETHWEB-jumbo.jpg?quality=75&auto=webp&disable=upscale,"Seth Hutchison, Asa Hutchison",,,,
66FOX,FOX,IRS extends tax benefits to married gay couples,Full benefits will now be available to all couples,VIDEO,https://a57.foxnews.com/a57.foxnews.com/media2.foxnews.com/thumbnails/i/083013/640/360/931/524/083013_edge_IRSgaymarriage_640.jpg?ve=1&tl=1,all couples,,,,
66NYT,NYT,Gay Marriages Get Recognition From the I.R.S.,"In June, supporters of same-sex marriage in West Hollywood, Calif., celebrated the Supreme Court’s ruling striking down the Defense of Marriage Act.",IMAGE,https://static01.nyt.com/images/2013/08/30/us/JP-MARRIAGE-1/JP-MARRIAGE-1-articleLarge.jpg?quality=75&auto=webp&disable=upscale,"supporters of same-sex marriage, Supreme Court",,,,
67FOX,FOX,AARP Pushes Back on Claim About Social Security Concessions as Lawmakers Push Reform,"          Sen. Kay Bailey Hutchison visits Wharton, Texas, March 1, 2010.
          (AP)",IMAGE,https://a57.foxnews.com/a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/640/320/1862/1048/hutchison_030110.jpg?ve=1&tl=1?ve=1&tl=1,Kay Bailey Hutchison,,,,
68FOX,FOX,"Federal prosecutors plan to file charges against Rep. Grimm, attorney says","          Jan 2, 2013: Representative Michael Grimm (R-NY) talks to the media. (Reuters)
          ",IMAGE,https://a57.foxnews.com/a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/640/320/1862/1048/grimminternal15121.jpg?ve=1&tl=1?ve=1&tl=1,Michael Grimm,,,,
68NYT,NYT,"Indictment Expected for Grimm, Staten Island Congressman",Representative Michael G. Grimm,IMAGE,https://static01.nyt.com/images/2014/04/26/nyregion/26grimm/26grimm-articleLarge.jpg?quality=75&auto=webp&disable=upscale,Michael Grimm,,,,
69FOX,FOX,"Republicans challenge Clinton claims on budget cuts, Benghazi cable",All-Star panel weighs in,VIDEO,https://a57.foxnews.com/a57.foxnews.com/media2.foxnews.com/thumbnails/i/012313/640/360/931/524/012313_sr_panel_640.jpg?ve=1&tl=1,all-star panel,,,,
69NYT,NYT,"Facing Congress, Clinton Defends Her Actions Before and After Libya Attack",Secretary of State Hillary Rodham Clinton faced tough questions over the attack on an American mission.,IMAGE,https://static01.nyt.com/images/2013/01/24/us/Clinton/Clinton-articleLarge-v2.jpg?quality=75&auto=webp&disable=upscale,Hillary Clinton,,,,
70FOX,FOX,"President Trump takes office vowing to restore prosperity, ‘fight’ for country",President Trump delivers his inaugural address,VIDEO,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/340/340/bergerpic2.jpg?ve=1&tl=1,Donald Trump,,,,
70NYT,NYT,"Donald Trump Is Sworn In as President, Capping His Swift Ascent","“From this day forward, it's going to be only America first, America first,” President Trump declared in a forceful 16-minute Inaugural Address.",VIDEO,https://static01.nyt.com/images/2017/01/21/us/21MEDIA-01p/21inauguration-trump-highlights-videoSixteenByNineJumbo1600-v2.jpg,Donald Trump,,,,
71FOX,FOX,"Chick-fil-A Appreciation Day brings out supporters, protesters",Former Arkansas Governor Mike Huckabee on turnout,VIDEO,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/340/340/john-roberts.png?ve=1&tl=1,Mike Huckabee,,,,
72FOX,FOX,"Obama endorses Clinton for president, on heels of Sanders meeting",Calls her the most qualified candidate to run for the presidency,VIDEO,https://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2016/06/09/931/524/694940094001_4933202370001_c6817bf8-f5bc-4cde-bfb1-be39ddb1235d.jpg?ve=1&tl=1,"Barack Obama, Hillary Clinton",,,,
72NYT,NYT,Bernie Sanders Meets President Obama and Pledges to Work to Defeat Donald Trump,The Democratic presidential candidate Bernie Sanders announced that he will talk with Hillary Clinton soon about making sure Donald J. Trump does not become president.,VIDEO,https://static01.nyt.com/images/2016/06/10/us/10fdsanders-sub/10fdsanders-sub-videoSixteenByNineJumbo1600-v2.jpg,"Bernie Sanders, Hillary Clinton, Donald Trump",,,,
73NYT,NYT,Richard Blumenthal's Words on Vietnam Service Differ From History,Attorney General Richard Blumenthal of Connecticut is running for a seat in the Senate.,IMAGE,https://static01.nyt.com/images/2010/05/18/nyregion/18blumenthal_CA0/18blumenthal_CA0-articleLarge.jpg?quality=75&auto=webp&disable=upscale,Richard Blumenthal,,,,
74NYT,NYT,House Passes Democrats’ Centerpiece Anti-Corruption and Voting Rights Bill,Speaker Nancy Pelosi and House members spoke on the steps of the Capitol on Friday about the For the People Act.,IMAGE,https://static01.nyt.com/images/2019/03/08/us/politics/08dc-house/merlin_151784448_07692fab-639b-4164-acdc-295e1863b3a1-articleLarge.jpg?quality=75&auto=webp&disable=upscale,"Nancy Pelosi, House members",,,,
75FOX,FOX,"As Mueller findings released, 2020 Dems demand to see 'whole damn report'",Trump opponents are trying to keep the focus on the Russia investigation as the White House seeks to move on; Peter Doocy reports from Washington.,VIDEO,https://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2019/03/25/931/524/694940094001_6017716216001_6017715099001-vs.jpg?ve=1&tl=1,"Donald Trump, Peter Doocy",,,,
75NYT,NYT,2020 Candidates Demand Full and Immediate Release of Mueller Report,Senator Cory Booker was among the Democratic presidential candidates urging the swift public release for the Mueller report.,IMAGE,https://static01.nyt.com/images/2019/03/22/watching/22Candidates/22Candidates-articleLarge.jpg?quality=75&auto=webp&disable=upscale,"Cory Booker, Democrats presidential candidates",,,,
76FOX,FOX,"Senate Republicans Vow to Block Dem Legislation Until Tax Cuts, Budget Pass","          In this Nov. 16 photo, Republican Senate Leader Mitch McConnell, left, accompanied by Sen. Lamar Alexander, R-Tenn., center, and Sen. John Cornyn, R-Texas, speaks at a news conference on Capitol Hill. (AP Photo)
          ",IMAGE,https://a57.foxnews.com/a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/640/320/1862/1048/mconnell_mitch_111610.jpg?ve=1&tl=1?ve=1&tl=1,"Mitch McConnell, Lamar Alexander, John Cornyn",,,,
77FOX,FOX,"FBI fires Peter Strzok, months after anti-Trump texts revealed","Strzok's attorney says the FBI's decision is a 'departure from typical bureau practice'; reaction from Rep. Darrell Issa, Republican member of the House Judiciary Committee.",VIDEO,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/340/340/bergerpic2.jpg?ve=1&tl=1,"Peter Strzok, Darrell Issa",,,,
77NYT,NYT,"F.B.I. Agent Peter Strzok, Who Criticized Trump in Texts, Is Fired","Peter Strzok, a top F.B.I. counterintelligence agent who was taken off the special counsel investigation after his disparaging texts about President Trump were uncovered, was fired.",IMAGE,https://static01.nyt.com/images/2018/08/14/us/politics/14dc-strzok-print/26dc-fbi-articleLarge.jpg?quality=75&auto=webp&disable=upscale,"Peter Strzok, Donald Trump",,,,
78FOX,FOX,Benghazi emails underscore State Department’s concern over failure to act on warnings,"Republicans, Democrats go head-to-head",VIDEO,https://a57.foxnews.com/a57.foxnews.com/media2.foxnews.com/thumbnails/i/051313/640/360/931/524/051313_fff_benghaziclintonlwt_640.jpg?ve=1&tl=1,"Republicans, Democrats",,,,
78NYT,NYT,E-Mails Show Jostling Over Benghazi ‘Talking Points’,"The diplomatic post in Benghazi, Libya, after the attack last year that killed four Americans.",IMAGE,https://static01.nyt.com/images/2013/05/16/us/16benghazi1/16benghazi1-articleLarge.jpg?quality=75&auto=webp&disable=upscale,NONE,,,,
79FOX,FOX,Shooting spurs calls for new lawmaker security measures,Virginia congressman says town halls may need tighter security,VIDEO,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/10/340/340/img_2751-54438.jpg?ve=1&tl=1,David Brat,,,,
79NYT,NYT,"Shooting Brings Rare Comity to the Capital, but Will It Last?","The day after a shooting at a baseball practice left four injured, including Steve Scalise, the majority whip of the House of Representatives, the bipartisan congressional baseball game played on.",VIDEO,https://static01.nyt.com/images/2017/06/16/us/16dc-baseball2/16dc-baseball2-videoSixteenByNine3000-v2.jpg,Steve Scalise,,,,
80FOX,FOX,Supreme Court Questions Claims in Sex Bias Suit Against Wal-Mart,"          People line up outside the Supreme Court in Washington March 29 to attend a hearing on women employees against Wal-Mart.
          (AP)",IMAGE,https://a57.foxnews.com/a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/640/320/1862/1048/scotus_walmart_032911.jpg?ve=1&tl=1?ve=1&tl=1,"Walmart, plaintiffs, Supreme Court",,,,
80NYT,NYT,Justices Take Up Crucial Issue in Wal-Mart Suit,Demonstrators gathered in front of the Supreme Court in Washington to show their support for female workers suing Wal-Mart Stores for alleged workplace discrimination in March.,IMAGE,https://static01.nyt.com/images/2011/03/30/us/30walmart_cnd/30walmart_cnd-articleLarge.jpg?quality=75&auto=webp&disable=upscale,"demonstrators, Supreme Court, plaintiffs, Walmart",,,,
81FOX,FOX,Who is Dave Brat?,Brat reacts to 'political earthquake',VIDEO,https://a57.foxnews.com/a57.foxnews.com/media2.foxnews.com/thumbnails/i/061014/640/360/931/524/061014_hannity_interview_640.jpg?ve=1&tl=1,David Brat,,,,
81NYT,NYT,"Eric Cantor Defeated by David Brat, Tea Party Challenger, in G.O.P. Primary Upset","Eric Cantor, a Republican, gave a concession speech in Richmond, Va.",IMAGE,https://static01.nyt.com/images/2014/06/11/us/11CANTOR-hp2/11CANTOR-hp2-articleLarge-v3.jpg?quality=75&auto=webp&disable=upscale,Eric Cantor,,,,
82FOX,FOX,"Bloomberg says Trump a 'dangerous demagogue,' endorses Clinton at DNC",Former New York City mayor addresses the Democratic National Convention,VIDEO,https://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2016/07/27/931/524/694940094001_5056093017001_de60368e-7f0d-4125-8a1f-e73c62d39d37.jpg?ve=1&tl=1,"Michael Bloomberg, DNC",,,,
82NYT,NYT,"For Trump and Bloomberg, Cordial Ties Have Soured","Former Mayor Michael R. Bloomberg of New York and Donald J. Trump at the Trump National Golf Club, in the city’s northern suburbs, in 2007.",IMAGE,https://static01.nyt.com/images/2016/07/29/nyregion/29BLOOMBERG2/29BLOOMBERG2-articleLarge.jpg?quality=75&auto=webp&disable=upscale,"Michael Bloomberg, Donald Trump",,,,
83FOX,FOX,GOP Smackdown: Rep. Labrador Enters The Race For House Majority Leadership,"
          WASHINGTON, DC - FEBRUARY 10:  Rep. Raul Labrador (R-ID), speaks at the Conservative Political Action conference (CPAC), on February 10, 2011 in Washington, DC. The CPAC annual gathering is a project of the American Conservative Union.  (Photo by Mark Wilson/Getty Images) *** Local Caption *** Raul Labrador
          ",IMAGE,https://a57.foxnews.com/a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/640/320/1862/1048/6e8f63e7-labardor-cropped.jpg?ve=1&tl=1?ve=1&tl=1,"Raul Labrador, American Conservative Union",,,,
83NYT,NYT,"Idaho Republican, Appealing to Right, Enters Race to Replace Cantor","Representative Raúl R. Labrador, a Republican of Idaho, has jumped into the race for House majority leader.",IMAGE,https://static01.nyt.com/images/2014/06/14/us/REPUBS1/REPUBS1-articleLarge.jpg?quality=75&auto=webp&disable=upscale,Raul Labrador,,,,
84FOX,FOX,"Trump Sends Investigators to Hawaii, Gains in GOP Presidential Primary Poll","          If Donald Trump became president, Melania Trump would become the first foreign-born first lady since Louisa Adams, wife of John Quincy Adams, the sixth U.S. president who served from 1825-1829.
          (AP)",IMAGE,https://a57.foxnews.com/a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/640/320/1862/1048/trump_donald_melania.jpg?ve=1&tl=1?ve=1&tl=1,"Donald Trump, Melania Trump, Louisa Adams, John Quincy Adams",,,,
85FOX,FOX,Jackson pleads guilty over illegal campaign spending spree,"          Feb. 20, 2013: Former Illinois Rep. Jesse Jackson Jr. arrives at the E. Barrett Prettyman Federal Courthouse in Washington.
          (AP)",IMAGE,https://a57.foxnews.com/a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/640/320/1862/1048/jackson_court_022013.jpg?ve=1&tl=1?ve=1&tl=1,Jesse Jackson,,,,
85NYT,NYT,Jesse Jackson Jr. Pleads Guilty in Campaign Money Case,Jesse L. Jackson Jr. entering court in Washington on Wednesday morning.,IMAGE,https://static01.nyt.com/images/2013/02/21/us/21jackson_3/21jackson_3-articleLarge.jpg?quality=75&auto=webp&disable=upscale,Jesse Jackson,,,,
86FOX,FOX,Defense Secretary James Mattis to leave as of January 1; Trump taps Patrick Shanahan as acting secretary of defense,Former Trump campaign manager Corey Lewandowski and former deputy assistant secretary of state in the Obama administration Joel Rubin debate.,VIDEO,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/340/340/greggre.jpg?ve=1&tl=1,"Corey Lewandowski, Joel Rubin",,,,
86NYT,NYT,"Jim Mattis, Defense Secretary, Resigns in Rebuke of Trump’s Worldview","Jim Mattis, the secretary of defense, found himself at odds with President Trump on several issues, including NATO policy and a military parade.",IMAGE,https://static01.nyt.com/images/2018/12/21/us/politics/21dc-mattis-promo/21dc-mattis-promo-articleLarge-v3.jpg?quality=75&auto=webp&disable=upscale,"James Mattis, Donald Trump",,,,
88FOX,FOX,Prominent Republicans call for Ariz. Gov. Jan Brewer to veto bill allowing denial of service to gays,"
          Jan. 13, 2014: Arizona Gov. Jan Brewer speaks during her State of the State address at the Arizona Capitol in Phoenix.
          ",IMAGE,https://a57.foxnews.com/a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/640/320/1862/1048/e10b2d37e6a9da074c0f6a70670018ba.jpg?ve=1&tl=1?ve=1&tl=1,Jan Brewer,,,,
89FOX,FOX,"Washington gov, Seattle mayor ban official travel to Indiana in wake of 'religious freedom' law",Gov. Mike Pence defends the law saying it's designed to protect people from being forced to do something that goes against their beliefs,VIDEO,https://a57.foxnews.com/a57.foxnews.com/media2.foxnews.com/2015/03/30/640/360/931/524/033015_an_indiana_640.jpg?ve=1&tl=1,"Mike Pence, Religious Freedom Restoration Act",,,,
90FOX,FOX,Susan Rice calls Netanyahu's Capitol Hill speech 'destructive' to US-Israel relations,Obama administration downplays global terrorism,VIDEO,https://a57.foxnews.com/a57.foxnews.com/media2.foxnews.com/2015/02/06/640/360/931/524/020615_tf_rice.jpg?ve=1&tl=1,Obama administration,,,,
90NYT,NYT,Obama Aide Calls Netanyahu’s Planned Visit ‘Destructive’ to U.S.-Israel Ties,"Susan E. Rice, President Obama’s national security adviser, said that Prime Minister Benjamin Netanyahu’s planned speech to Congress posed a problem for the Israeli-American relationship.",VIDEO,https://static01.nyt.com/images/2015/02/25/multimedia/susan-rice-destructive/susan-rice-destructive-videoSixteenByNine1050.jpg,"Susan Rice, Barack Obama, Benjamin Netanyahu",,,,
91FOX,FOX,"Obama urges new restrictions on assault weapons, magazines as part of gun control plan",Announces plans to use 23 executive actions,VIDEO,https://a57.foxnews.com/a57.foxnews.com/media2.foxnews.com/thumbnails/i/011613/640/360/931/524/obama_guns_011613.jpg?ve=1&tl=1,Barack Obama,,,,
91NYT,NYT,Obama Poised to Back Comprehensive Plan to Curb Gun Violence,"Vice President Joseph R. Biden Jr., who is leading a task force to address gun violence, at a White House meeting last week with members of victims’ groups and gun safety organizations.",IMAGE,https://static01.nyt.com/images/2013/01/15/us/GUNS/GUNS-articleLarge.jpg?quality=75&auto=webp&disable=upscale,"Joe Biden, members of victims' groups",,,,
92NYT,NYT,William Cowan Named Interim Senator in Massachusetts,"From left, Gov. Deval Patrick, William Cowan, Massachusetts' interim senator, and Lt. Gov. Timothy Murray at a news conference on Wednesday.",IMAGE,https://static01.nyt.com/images/2013/01/31/us/jp-MASSACHUSETTS/jp-MASSACHUSETTS-articleLarge.jpg?quality=75&auto=webp&disable=upscale,"Deval Patrick, William Cowan, Timothy Murray",,,,
93FOX,FOX,"Clinton camp releases candidate's clean bill of health, tax returns",Ongoing email controversy a distraction for Democratic presidential hopeful's campaign,VIDEO,https://a57.foxnews.com/a57.foxnews.com/media2.foxnews.com/2015/07/31/640/360/931/524/073115_hn_trail.jpg?ve=1&tl=1,Hillary Clinton,,,,
93NYT,NYT,Clintons Report Earnings of $139 Million in Seven Years,"Hillary Rodham Clinton at a campaign stop in Hopkinton, N.H., on Tuesday.",IMAGE,https://static01.nyt.com/images/2015/07/31/us/31firstdraft-clintontax/31firstdraft-clintontax-tmagArticle.jpg,Hillary Clinton,,,,
94NYT,NYT,Weiner Denies Sending Photo but Is Less Sure About Its Origin,Representative Anthony D. Weiner sat for interviews on Wednesday.,IMAGE,https://static01.nyt.com/images/2011/06/02/nyregion/weiner/weiner-jumbo.jpg?quality=75&auto=webp&disable=upscale,Anthony Weiner,,,,
95FOX,FOX,Hillary Clinton's use of private email address while secretary of state draws scrutiny,Hillary Clinton's use of her private email exclusively while secretary of state just the latest question to dog her potential 2016 White House run,VIDEO,https://a57.foxnews.com/a57.foxnews.com/media2.foxnews.com/2015/03/03/640/360/931/524/030315_otr_email.jpg?ve=1&tl=1,Hillary Clinton,,,,
95NYT,NYT,Hillary Clinton Asks State Department to Vet Emails for Release,"Hillary Rodham Clinton, then secretary of state, after addressing the United Nations Security Council in 2012.",IMAGE,https://static01.nyt.com/images/2015/03/06/us/06EMAILS/06EMAILS-articleLarge.jpg?quality=75&auto=webp&disable=upscale,"Hillary Clinton, United Nations Security Council",,,,
96NYT,NYT,Trump Accuses Former Clinton Aide of Failing to Follow Security Protocols,"Hillary Clinton and her longtime aide Huma Abedin on the campaign plane in October 2016 in White Plains, N.Y., during her bid for the presidency.",IMAGE,https://static01.nyt.com/images/2018/01/03/us/03dc-clinton1/03dc-clinton1-articleLarge.jpg?quality=75&auto=webp&disable=upscale,"Hillary Clinton, Huma Abedin",,,,
97FOX,FOX,"Federal prosecutors subpoena Christie's campaign, NJ GOP committee","          Aug 15, 2013: New Jersey Gov. Chris Christie speaks to fellow Republicans during the Republican National Committee summer meeting in Boston.
          ",IMAGE,https://a57.foxnews.com/a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/640/320/1862/1048/Christie_081613.jpg?ve=1&tl=1?ve=1&tl=1,"Chris Christie, Republicans",,,,
98FOX,FOX,Third-Highest Ranking Republican In U.S. House Calls For Legalizing Undocumented Immigrants,"
          FILE: UNDATED: House Majority Leader Kevin McCarthy, center, talks on Capitol Hill about the debt ceiling, Washington, D.C.
          ",IMAGE,https://a57.foxnews.com/a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/640/320/1862/1048/mccarthy_kevin_071911-1.jpg?ve=1&tl=1?ve=1&tl=1,Kevin McCarthy,,,,
99FOX,FOX,"Rep. Duncan Hunter, wife indicted on corruption charges in California",Five-term Republican congressman from California Duncan Hunter and his wife Margaret are accused of using campaign funds for personal expenses; William La Jeunesse reports from Los Angeles.,VIDEO,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2020/01/340/340/9e278b6e-headshot2.jpg?ve=1&tl=1,"Duncan Hunter, Margaret Hunter, William La Jeunesse",,,,
99NYT,NYT,"Representative Duncan Hunter Is Indicted, Accused of Misusing Campaign Funds","Representative Duncan Hunter, Republican of California, and his wife are accused of spending tens of thousands of dollars of campaign funds on personal expenses like family trips and private school tuition.",IMAGE,https://static01.nyt.com/images/2018/08/22/us/22hunter-print/22hunter-print-articleLarge-v2.jpg?quality=75&auto=webp&disable=upscale,"Duncan Hunter, Margaret Hunter",,,,